story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
f3eadea7-021d-469b-8eef-0508ccc852c2,0zh7emrd,human_1AI,1.0,75.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0
37f088e5-ab58-4234-bdd3-e77835d3504b,k83yfsd1,human_5AI,1.0,52.0,6.0,6.0,4.0,3.0,2.0,3.0,6.0,5.0,3.0,6.0,7.0,1.0
124978c6-f8c9-4d94-829a-fe59c714310b,r0nvf21k,human_5AI,1.0,58.0,3.0,4.0,3.0,8.0,6.0,5.0,6.0,4.0,1.0,1.0,1.0,5.0
28e46f82-e84e-47fd-8d5a-3037d19a7f36,zk0enfhg,human_5AI,1.0,90.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,5.0
cb260fad-db5b-4730-960c-020aa4fd43c5,cp2m4tgg,human,0.0,8.0,2.0,2.0,2.0,7.0,3.0,2.0,4.0,6.0,5.0,1.0,1.0,1.0
e8a698ff-7fba-4cd9-987f-273c3abe7fba,rukcpe77,human,0.0,25.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,7.0,5.0,4.0,5.0
79ce5a91-c618-458f-8cce-9e32e1689cb1,27szennb,human,0.0,25.0,2.0,2.0,2.0,7.0,7.0,8.0,5.0,7.0,6.0,2.0,3.0,3.0
1cf347a7-0df2-4ccd-a041-2d19d62fd7e2,1eoxm04m,human,0.0,50.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,1.0,5.0,2.0,2.0,3.0
7298782e-7bac-4a4a-b322-d4832c0cf6a2,skrodzah,human_5AI,0.0,25.0,2.0,2.0,2.0,6.0,7.0,8.0,4.0,5.0,5.0,2.0,1.0,6.0
f2d658e2-90c4-4942-813d-f4c063b84c93,senriny0,human,0.0,75.0,7.0,7.0,7.0,3.0,4.0,7.0,7.0,6.0,2.0,5.0,1.0,1.0
1bd16c85-78a6-4905-a0b8-23baa64e70bd,ps2dbopg,human_5AI,1.0,75.0,8.0,8.0,7.0,9.0,5.0,3.0,6.0,5.0,2.0,1.0,4.0,5.0
e29b0a28-2897-450e-b920-fcd41084a12a,c9hgm5tm,human_1AI,1.0,74.0,4.0,4.0,3.0,6.0,5.0,6.0,6.0,5.0,3.0,5.0,6.0,4.0
